kind,slug,name,location,setCount,needs,imageUrl,website,instagram,youtube,soundcloud,twitter,Genre,Short Bio
dj,mau-p,Mau P,"Amsterdam, Netherlands",46,,https://cdn-images.dzcdn.net/images/artist/0f40555bc579fc175b726c518dc15766/250x250-000000-80-0-0.jpg,https://maupmusic.com/,https://instagram.com/maupmusic,https://www.youtube.com/@maupmusic,https://soundcloud.com/realmaup,https://twitter.com/realmaup,Tech House / House,"Dutch DJ and producer whose punchy, techno-leaning house records have made him a major contemporary club and festival act."
dj,vini-vici,Vini Vici,"Afula, Israel",30,,https://cdn-images.dzcdn.net/images/artist/6f2c6e7665fe19b2528c9e872d62b90c/250x250-000000-80-0-0.jpg,https://djmag.com/top100djs/2025/32/vini-vici,https://www.instagram.com/vinivicimusic/,https://www.youtube.com/@ViniViciMusic,https://soundcloud.com/vinivicimusic,https://x.com/vinivicimusic,Trance / Psytrance,Israeli duo known for combining psychedelic trance with festival-scale electronic production and global vocal influences.
dj,westend,Westend,"New York, US",23,instagram|twitter,https://cdn-images.dzcdn.net/images/artist/2dca775e3058fd3a2009f2f45c0c8643/250x250-000000-80-0-0.jpg,https://www.itsthewestend.com/,,https://www.youtube.com/@itsthewestend,https://soundcloud.com/itsthewestend,,Tech House / House,"Westend is a New York, US-based DJ, producer or electronic artist whose work centers on tech house / house, with a focus on club-ready releases and live sets."
dj,layton-giordani,Layton Giordani,"New York, US",18,instagram|twitter,https://cdn-images.dzcdn.net/images/artist/3af64463f444ac08340cf0ab6ae2eb35/250x250-000000-80-0-0.jpg,https://www.laytongiordanimusic.com/,,https://www.youtube.com/@LaytonGiordani,https://soundcloud.com/laytongiordani,,Tech House / House,"New York producer and DJ associated with modern techno and tech-house, with releases and performances across major global stages."
dj,cloonee,Cloonee,"London, UK",17,instagram|twitter,https://cdn-images.dzcdn.net/images/artist/2f4004a1404096a89f788c75a0975f97/250x250-000000-80-0-0.jpg,https://www.cloonee.com/,,https://www.youtube.com/@cloonee,https://soundcloud.com/cloonee,,Tech House / House,"Cloonee is a London, UK-based DJ, producer or electronic artist whose work centers on tech house / house, with a focus on club-ready releases and live sets."
dj,hannah-laing,Hannah Laing,"Dundee, UK",17,instagram|twitter,https://cdn-images.dzcdn.net/images/artist/cdb935c090651b83a04bac45d5f4aa91/250x250-000000-80-0-0.jpg,https://linktr.ee/hannahlaingdj,,https://www.youtube.com/@HannahLaingDJ,https://soundcloud.com/hannahlaingdj,,Techno / Hard Techno,"Dundee DJ and producer known for high-energy sets that connect hard house, trance and driving techno."
dj,biscits,BISCITS,"Southampton, UK",16,,https://cdn-images.dzcdn.net/images/artist/892b3f599405fae8fe0f5343193d670e/250x250-000000-80-0-0.jpg,https://biscits.com/,https://www.instagram.com/itsbiscits/,https://www.youtube.com/@Biscits,https://soundcloud.com/biscits,https://x.com/BiscitsMusic,Tech House / House,"BISCITS is a Southampton, UK-based DJ, producer or electronic artist whose work centers on tech house / house, with a focus on club-ready releases and live sets."
dj,joseph-capriati,Joseph Capriati,"Caserta, Italy",14,website|instagram|twitter,https://cdn-images.dzcdn.net/images/artist/f3f673823ccb5c53b75debe36d350307/250x250-000000-80-0-0.jpg,,,https://www.youtube.com/@principello1212M,https://soundcloud.com/joseph-capriati,,Tech House / House,"Joseph Capriati is a Caserta, Italy-based DJ, producer or electronic artist whose work centers on tech house / house, with a focus on club-ready releases and live sets."
dj,pls-ty,PLS&TY,"Los Angeles, US",14,,https://cdn-images.dzcdn.net/images/artist/ce64973eb985337a4800642f340ca955/250x250-000000-80-0-0.jpg,https://plsandty.com/,https://instagram.com/plsandty,https://www.youtube.com/channel/UCf3yYxT39G28LocXpUCtG9g,https://soundcloud.com/pls-ty,https://twitter.com/plsandtybased,House / Dance Pop,"PLS&TY is a Los Angeles, US-based DJ, producer or electronic artist whose work centers on house / dance pop, with a focus on club-ready releases and live sets."
dj,castion,Castion,"Tenerife, Spain",13,website,https://cdn-images.dzcdn.net/images/artist/190a0a5fc5c3b05e77765085d3062b6c/250x250-000000-80-0-0.jpg,,https://instagram.com/castionmusic,https://www.youtube.com/@Castion,https://soundcloud.com/castion,https://x.com/CastionMusic,Trance / Psytrance,"Castion is a Tenerife, Spain-based DJ, producer or electronic artist whose work centers on trance / psytrance, with a focus on club-ready releases and live sets."
dj,paco-osuna,PACO OSUNA,"Barcelona, Spain",13,instagram|twitter,https://cdn-images.dzcdn.net/images/artist/749a5f884c1d253f830ad777a7c173bf/250x250-000000-80-0-0.jpg,http://pacoosuna.com/,,https://www.youtube.com/@Paco_Osuna,https://soundcloud.com/paco-osuna,,Tech House / House,"PACO OSUNA is a Barcelona, Spain-based DJ, producer or electronic artist whose work centers on tech house / house, with a focus on club-ready releases and live sets."
